,n_step,n_env,n_pop,total_time,total_steps,step_per_sec,method
147,200,5,100,0.6113479137420654,100000,163572.97988946948,mml
148,200,5,100,30.928134202957153,100000,3233.3020590177935,fmm
149,200,5,100,0.44376420974731445,100000,225344.89668948605,mml
150,200,5,100,30.306002855300903,100000,3299.676320808791,fmm
151,200,5,100,0.5652029514312744,100000,176927.5969751539,mml
152,200,5,100,29.21958327293396,100000,3422.362292641928,fmm
153,200,5,100,0.4625589847564697,100000,216188.64468203657,mml
154,200,5,100,30.650039672851562,100000,3262.6385175147275,fmm
155,200,5,100,0.4583127498626709,100000,218191.6170343593,mml
156,200,5,100,32.385446071624756,100000,3087.8067814423985,fmm
157,200,5,100,0.6086342334747314,100000,164302.29274008077,mml
158,200,5,100,31.122692108154297,100000,3213.089653442914,fmm
159,200,5,100,0.416353702545166,100000,240180.40283706138,mml
160,200,1,100,7.123104572296143,20000,2807.764479239278,fmm
161,200,1,100,0.21722197532653809,20000,92071.71590229339,mml
162,200,1,100,7.961283206939697,20000,2512.1578368882024,fmm
163,200,1,100,0.21366524696350098,20000,93604.3661017857,mml
164,200,1,100,7.9332029819488525,20000,2521.0498263447744,fmm
165,200,1,100,0.22194218635559082,20000,90113.55762692382,mml
166,200,1,100,7.605988025665283,20000,2629.5071636338307,fmm
167,200,1,100,0.18558788299560547,20000,107765.65623345991,mml
168,200,1,100,7.548327922821045,20000,2649.5934204889945,fmm
169,200,1,100,0.19539141654968262,20000,102358.64171092979,mml
170,200,1,100,7.925988674163818,20000,2523.344509082329,fmm
171,200,1,100,0.21958708763122559,20000,91080.03669864226,mml
172,200,1,100,7.977331638336182,20000,2507.10399250386,fmm
173,200,1,100,0.21457362174987793,20000,93208.10189480515,mml
174,200,1,100,7.8338706493377686,20000,2553.016368950474,fmm
175,200,1,100,0.2116856575012207,20000,94479.71221141738,mml
176,200,1,100,7.991780042648315,20000,2502.571378750359,fmm
177,200,1,100,0.2190241813659668,20000,91314.1182643302,mml
178,200,1,100,8.004414558410645,20000,2498.621211339558,fmm
179,200,1,100,0.21863293647766113,20000,91477.52540040326,mml
